Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Loadcase,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-5.3,-15.8,3.8,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-5.3,-15.8,3.8,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-5.0,10.2,-5.9,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-5.0,10.2,-5.9,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-6.6,4.8,-8.9,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-6.6,4.8,-8.9,0.0,0.0,0.0
E1,90.0000,SC F/#1468 (UKB 406x178x54),90.0000,1 Self weight - excluding slabs,6.5,0.0,0.0,0.0,0.0,0.0
E2,90.0000,SC F/#1400 (UKB 406x178x54),90.0000,1 Self weight - excluding slabs,7.1,0.0,0.0,0.0,0.0,0.0
E3,90.0000,SC F/#1396 (UKB 406x178x54),90.0000,1 Self weight - excluding slabs,7.1,0.0,0.0,0.0,0.0,0.0
E4,90.0000,SC F/#1394 (UKB 406x178x54),90.0000,1 Self weight - excluding slabs,6.5,0.0,0.0,0.0,0.0,0.0
SUP 2/L,0.0000,SC 2/L (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.6,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.2,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.5,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.6,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",0.2,0.0,0.1,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",0.2,0.0,0.1,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.2,0.0,0.2,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.2,0.0,0.2,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.8,0.0,0.1,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.4,0.0,-0.1,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.4,0.0,-0.1,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.7,0.0,-0.1,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.7,0.0,-0.1,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
SUP 2/M,0.0000,SC 2/M (UC 203x203x60),0.0000,1 Self weight - excluding slabs,9.4,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.2,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.5,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.6,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.6,3.3,0.1,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.6,3.3,0.1,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-1.0,11.5,0.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-1.0,11.5,0.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,-16.2,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.4,-16.2,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.4,-8.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.9,-8.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",0.1,5.4,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",0.1,5.4,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.2,10.8,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.2,10.8,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",0.1,2.2,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.1,2.2,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.2,7.6,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.4,7.6,0.0,0.0,0.0,0.0
SUP 2/N,0.0000,SC 2/N (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.1,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.2,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.2,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.1
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.5,0.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
SUP 2/O,0.0000,SC 2/O (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.1,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.2,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.2,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,-0.1
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.5,0.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
SUP 7/L,0.0000,SC 7/L (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.6,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.2,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.5,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.6,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.6,0.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.6,0.0,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.6,0.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.6,0.0,0.0,0.0,0.0,0.0
SUP 7/M,0.0000,SC 7/M (UC 203x203x60),0.0000,1 Self weight - excluding slabs,9.0,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.2,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.5,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.6,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.4,-3.3,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.4,-3.3,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.9,-11.5,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.9,-11.5,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,-3.3,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-0.1,-3.3,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.4,-11.5,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.5,-11.5,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",0.1,-5.4,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",0.1,-5.4,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.2,-10.8,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.2,-10.8,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",0.0,10.7,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.2,10.7,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.3,5.3,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.5,5.3,0.0,0.0,0.0,0.0
SUP 7/N,0.0000,SC 7/N (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.1,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.2,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.2,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
SUP 7/O,0.0000,SC 7/O (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,0.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,0.1,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,0.2,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,0.2,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-0.4,0.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",0.1,0.0,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-0.1,0.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-0.2,0.0,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-0.3,0.0,0.0,0.0,0.0,0.0
SUP 8/A,0.0000,SC 8/A (UC 203x203x60),0.0000,1 Self weight - excluding slabs,8.2,0.0,0.0,0.0,0.0,0.0
,,,,3 Dead,1.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Services,1.2,0.0,0.0,0.0,0.0,0.0
,,,,5 Imposed,2.8,0.0,0.0,0.0,0.0,0.0
,,,,6 Snow,3.3,0.0,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-5.7,-15.9,-11.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-5.7,-15.9,-11.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-8.1,-24.1,-6.2,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-8.1,-24.1,-6.2,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-4.9,-3.3,1.9,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-4.9,-3.3,1.9,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-7.2,-11.5,6.7,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-7.2,-11.5,6.7,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-1.8,-8.4,1.2,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-1.8,-8.4,1.2,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-3.4,-13.8,4.4,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-3.4,-13.8,4.4,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-5.0,10.2,6.3,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-5.0,10.2,6.3,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-6.6,4.8,9.5,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-6.6,4.8,9.5,0.0,0.0,0.0
SUP A/#303,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,19.7,0.2,0.0,0.0,0.0,0.0
,,,,3 Dead,3.3,0.1,0.0,0.0,0.0,0.0
,,,,4 Services,3.3,0.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,8.0,0.3,0.0,0.0,0.0,0.0
,,,,6 Snow,9.5,0.3,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-21.2,-0.5,-32.9,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-21.2,-0.5,-32.9,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-29.6,-0.7,-18.7,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-29.6,-0.7,-18.7,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-25.7,-12.5,25.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-29.7,-9.1,25.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-34.2,-12.7,39.3,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-38.2,-9.3,39.3,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-3.2,0.0,3.8,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-3.2,0.0,3.8,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-8.8,-0.2,13.2,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-8.8,-0.2,13.2,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",11.9,8.3,3.8,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",6.4,5.8,3.8,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",6.3,8.2,13.3,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",0.7,5.7,13.3,0.0,0.0,0.0
SUP K/#237,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,19.7,0.2,0.0,0.0,0.0,0.0
,,,,3 Dead,3.3,0.1,0.0,0.0,0.0,0.0
,,,,4 Services,3.3,0.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,8.0,0.3,0.0,0.0,0.0,0.0
,,,,6 Snow,9.5,0.3,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-4.9,0.0,-5.8,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-4.9,0.0,-5.8,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-13.4,-0.2,-20.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-13.4,-0.2,-20.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-25.7,-12.5,-25.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-29.7,-9.1,-25.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-34.2,-12.7,-39.3,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-38.2,-9.3,-39.3,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-13.9,-0.3,21.6,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-13.9,-0.3,21.6,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-19.4,-0.4,12.2,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-19.4,-0.4,12.2,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",11.9,8.3,-3.8,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",6.4,5.8,-3.8,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",6.3,8.2,-13.3,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",0.7,5.7,-13.3,0.0,0.0,0.0
SUP K/#269,180.0000,Span 1 Lh Column (UKB 762x267x134),-90.0000,1 Self weight - excluding slabs,19.8,0.2,0.0,0.0,0.0,0.0
,,,,3 Dead,3.3,0.1,0.0,0.0,0.0,0.0
,,,,4 Services,3.3,0.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,8.0,0.3,0.0,0.0,0.0,0.0
,,,,6 Snow,9.5,0.3,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-4.9,0.0,5.8,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-4.9,0.0,5.8,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-13.4,-0.3,20.1,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-13.4,-0.3,20.1,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",18.2,12.6,5.7,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",9.7,8.8,5.7,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",9.7,12.4,20.1,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",1.2,8.5,20.1,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-13.9,-0.3,-21.6,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-13.9,-0.3,-21.6,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-19.5,-0.5,-12.3,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-19.5,-0.5,-12.3,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",-17.1,-8.3,16.6,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-19.7,-6.1,16.6,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-22.8,-8.4,26.1,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-25.4,-6.2,26.1,0.0,0.0,0.0
,,,,,,,,,,
,,,,,,,,,,
Wall Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
Core Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
