Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
SUP 1/A,0.0000,SC 1/A (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,24.8,1.1,0.6,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,24.7,1.6,-1.7,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,24.8,0.6,2.9,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,25.0,-2.5,-1.4,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,24.6,4.7,2.5,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,46.0,33.5,-32.0,0.0,0.0,0.1
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,-1.3,25.0,-35.4,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,22.8,39.4,-23.9,0.0,0.0,0.1
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,-24.5,30.9,-27.3,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,64.3,-84.0,-29.2,0.0,0.0,-0.1
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,10.0,-71.3,-23.9,0.0,0.0,-0.1
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,41.1,-78.1,-21.2,0.0,0.0,-0.1
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,-13.2,-65.4,-15.8,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,12.9,-25.2,16.5,0.0,0.0,-0.1
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,-13.0,-18.7,18.2,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,-10.3,-19.3,24.5,0.0,0.0,-0.1
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,-36.1,-12.8,26.2,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,0.4,74.5,48.4,0.0,0.0,0.1
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,-23.6,65.8,43.7,0.0,0.0,0.1
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,-22.7,80.5,56.5,0.0,0.0,0.1
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,-46.7,71.8,51.7,0.0,0.0,0.1
,,,,22 (Final) Cb5.1-D+1.4W,45.0,38.4,-37.7,0.0,0.0,0.1
,,,,23 (Final) Cb5.2-D+1.4W,-10.2,28.4,-41.7,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,18.0,45.3,-28.3,0.0,0.0,0.1
,,,,25 (Final) Cb5.4-D+1.4W,-37.3,35.3,-32.3,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,66.3,-98.8,-34.6,0.0,0.0,-0.1
,,,,27 (Final) Cb5.6-D+1.4W,3.0,-84.0,-28.3,0.0,0.0,-0.1
,,,,28 (Final) Cb5.7-D+1.4W,39.3,-91.9,-25.2,0.0,0.0,-0.1
,,,,29 (Final) Cb5.8-D+1.4W,-24.1,-77.1,-18.9,0.0,0.0,-0.1
,,,,30 (Final) Cb5.9-D+1.4W,6.3,-30.1,18.8,0.0,0.0,-0.1
,,,,31 (Final) Cb5.10-D+1.4W,-23.8,-22.5,20.8,0.0,0.0,-0.1
,,,,32 (Final) Cb5.11-D+1.4W,-20.6,-23.3,28.2,0.0,0.0,-0.1
,,,,33 (Final) Cb5.12-D+1.4W,-50.8,-15.7,30.2,0.0,0.0,-0.1
,,,,34 (Final) Cb5.13-D+1.4W,-8.2,86.2,56.0,0.0,0.0,0.1
,,,,35 (Final) Cb5.14-D+1.4W,-36.1,76.1,50.5,0.0,0.0,0.1
,,,,36 (Final) Cb5.15-D+1.4W,-35.2,93.2,65.4,0.0,0.0,0.1
,,,,37 (Final) Cb5.16-D+1.4W,-63.2,83.0,59.9,0.0,0.0,0.1
SUP 1/D,0.0000,SC 1/D (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,91.0,5.6,0.1,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,90.5,5.5,-0.5,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,91.6,5.7,0.6,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,90.9,5.0,-0.2,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,91.1,6.2,0.4,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,42.3,1.6,-9.8,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,21.2,4.1,-10.1,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,19.8,12.8,-20.0,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,-1.3,15.3,-20.3,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,91.0,-47.6,-14.3,0.0,0.0,-0.1
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,49.1,-40.0,-14.0,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,68.4,-36.4,-24.5,0.0,0.0,-0.1
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,26.5,-28.7,-24.2,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,124.0,25.9,24.6,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,73.6,21.8,24.7,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,101.5,37.2,14.4,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,51.1,33.1,14.4,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,73.0,43.3,-2.4,0.0,0.0,0.1
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,46.9,34.4,-2.7,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,50.6,54.5,-12.6,0.0,0.0,0.1
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,24.6,45.6,-12.9,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,4.6,0.2,-11.4,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,-19.9,3.1,-11.8,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,-21.6,13.3,-23.4,0.0,0.0,0.1
,,,,25 (Final) Cb5.4-D+1.4W,-46.2,16.2,-23.7,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,61.5,-57.2,-16.8,0.0,0.0,-0.1
,,,,27 (Final) Cb5.6-D+1.4W,12.6,-48.3,-16.4,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,35.2,-44.1,-28.7,0.0,0.0,-0.1
,,,,29 (Final) Cb5.8-D+1.4W,-13.8,-35.2,-28.3,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,100.0,28.6,28.6,0.0,0.0,-0.1
,,,,31 (Final) Cb5.10-D+1.4W,41.2,23.8,28.7,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,73.7,41.7,16.7,0.0,0.0,-0.1
,,,,33 (Final) Cb5.12-D+1.4W,14.9,36.9,16.8,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,40.5,48.9,-2.8,0.0,0.0,0.1
,,,,35 (Final) Cb5.14-D+1.4W,10.1,38.4,-3.2,0.0,0.0,0.1
,,,,36 (Final) Cb5.15-D+1.4W,14.4,62.0,-14.7,0.0,0.0,0.1
,,,,37 (Final) Cb5.16-D+1.4W,-16.0,51.5,-15.1,0.0,0.0,0.1
SUP 2/B,0.0000,SC 2/B (UC 254x254x89),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,276.0,0.5,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,276.1,0.5,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,275.9,0.5,0.0,0.0,0.0,0.0
