Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,76.2,-10.4,-19.1,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,35.3,-10.5,-19.0,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,100.0,8.6,17.8,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,53.3,8.6,17.7,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,78.4,20.2,10.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,31.7,20.1,9.9,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,75.6,6.8,-2.2,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,53.2,6.7,-2.2,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,54.1,18.3,-10.1,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,31.7,18.2,-10.0,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,34.4,10.4,-9.4,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,-4.4,10.3,-9.2,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,9.3,23.9,-18.5,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,-29.5,23.7,-18.3,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,63.4,-25.7,-13.1,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,15.6,-25.8,-13.0,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,38.1,-12.3,-22.2,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,-9.6,-12.4,-22.1,0.0,0.0,0.0
