Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,-0.2,-28.3,-24.5,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,90.8,27.1,24.3,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,39.8,23.1,24.4,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,70.1,38.7,14.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,19.1,34.7,14.1,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,36.1,44.4,-2.5,0.0,0.0,0.1
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,10.7,35.4,-2.9,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,15.5,55.9,-12.8,0.0,0.0,0.1
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,-9.9,47.0,-13.2,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,-10.1,1.1,-11.6,0.0,0.0,0.1
,,,,23 (Final) Cb5.2-D+1.4W,-33.8,4.0,-12.0,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,-34.2,14.6,-23.7,0.0,0.0,0.1
,,,,25 (Final) Cb5.4-D+1.4W,-57.9,17.5,-24.0,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,58.5,-57.9,-16.8,0.0,0.0,-0.1
,,,,27 (Final) Cb5.6-D+1.4W,8.2,-48.8,-16.4,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,34.3,-44.3,-28.8,0.0,0.0,-0.1
,,,,29 (Final) Cb5.8-D+1.4W,-16.0,-35.3,-28.4,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,90.2,29.3,28.5,0.0,0.0,-0.1
,,,,31 (Final) Cb5.10-D+1.4W,30.6,24.6,28.6,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,66.1,42.9,16.4,0.0,0.0,-0.1
,,,,33 (Final) Cb5.12-D+1.4W,6.5,38.1,16.5,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,26.3,49.4,-2.8,0.0,0.0,0.1
,,,,35 (Final) Cb5.14-D+1.4W,-3.3,39.0,-3.3,0.0,0.0,0.1
,,,,36 (Final) Cb5.15-D+1.4W,2.3,62.9,-14.9,0.0,0.0,0.1
,,,,37 (Final) Cb5.16-D+1.4W,-27.3,52.5,-15.3,0.0,0.0,0.1
SUP 2/B,0.0000,SC 2/B (UC 254x254x89),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,260.2,1.0,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,260.3,1.0,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,260.2,1.0,0.0,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,260.2,1.0,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,260.2,1.0,0.0,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,190.9,13.2,-16.4,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,190.2,13.2,-16.4,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,181.9,20.9,-9.1,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,181.1,20.9,-9.1,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,186.5,-16.3,12.4,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,187.7,-16.3,12.4,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,177.5,-8.6,19.7,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,178.7,-8.6,19.7,0.0,0.0,0.0
