Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,108 (Final) Cb5.4-D+1.4W,405.1,-0.2,-1.0,0.0,0.0,0.0
,,,,109 (Final) Cb5.5-D+1.4W,405.1,-3.2,0.0,0.0,0.0,0.0
,,,,110 (Final) Cb5.6-D+1.4W,405.1,-3.2,0.0,0.0,0.0,0.0
,,,,111 (Final) Cb5.7-D+1.4W,405.1,-3.2,-0.1,0.0,0.0,0.0
,,,,112 (Final) Cb5.8-D+1.4W,405.1,-3.2,-0.1,0.0,0.0,0.0
,,,,113 (Final) Cb5.9-D+1.4W,405.1,-0.2,1.2,0.0,0.0,0.0
,,,,114 (Final) Cb5.10-D+1.4W,405.1,-0.2,1.2,0.0,0.0,0.0
,,,,115 (Final) Cb5.11-D+1.4W,405.1,-0.2,1.2,0.0,0.0,0.0
,,,,116 (Final) Cb5.12-D+1.4W,405.1,-0.2,1.2,0.0,0.0,0.0
,,,,117 (Final) Cb5.13-D+1.4W,405.1,1.5,-0.1,0.0,0.0,0.0
,,,,118 (Final) Cb5.14-D+1.4W,405.1,1.5,-0.1,0.0,0.0,0.0
,,,,119 (Final) Cb5.15-D+1.4W,405.1,1.5,-0.1,0.0,0.0,0.0
,,,,120 (Final) Cb5.16-D+1.4W,405.1,1.5,-0.1,0.0,0.0,0.0
A,180.0000,Span 1 Rh Column (UC 203x203x86),90.0000,59 Snow Drift 0,583.2,3.4,0.0,0.0,0.0,0.0
,,,,60 Snow Drift 90,577.0,3.4,0.0,0.0,0.0,0.0
,,,,61 Snow Drift 180,581.1,3.4,0.0,0.0,0.0,0.0
,,,,62 Snow Drift 270,608.5,3.5,0.0,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,575.5,3.4,0.0,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,575.5,3.4,0.3,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,575.5,3.4,-0.3,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,575.3,4.9,0.0,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,575.7,1.8,0.0,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,595.7,3.4,0.0,0.0,0.0,0.0
,,,,69 (Final) Cb2.2-1.4D+1.6I+1.6S+NHFDir1+,595.7,3.4,0.3,0.0,0.0,0.0
,,,,70 (Final) Cb2.3-1.4D+1.6I+1.6S+NHFDir1-,595.7,3.4,-0.3,0.0,0.0,0.0
