Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,132.9,-10.8,0.0,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,132.9,-10.8,0.0,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,132.9,-8.3,0.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,132.9,-8.3,0.0,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,162.6,13.0,0.0,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,162.6,13.0,0.0,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,162.6,14.6,0.0,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,162.6,14.6,0.0,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,150.7,22.7,0.0,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,150.7,22.7,0.0,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,150.7,25.3,0.0,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,150.7,25.3,0.0,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,120.8,9.1,0.0,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,120.8,9.1,0.0,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,120.8,12.6,0.0,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,120.8,12.6,0.0,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,83.5,-22.5,0.0,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,83.5,-22.5,0.0,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,83.5,-19.2,0.0,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,83.5,-19.2,0.0,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,120.8,7.3,0.0,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,120.8,7.3,0.0,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,120.8,9.3,0.0,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,120.8,9.3,0.0,0.0,0.0,0.0
