Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,62 Snow Drift 270,900.6,5.1,0.0,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,866.0,5.0,0.0,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,866.0,5.0,0.5,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,865.9,5.0,-0.4,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,865.7,7.3,0.0,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,866.2,2.7,0.0,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,898.2,5.1,0.0,0.0,0.0,0.0
,,,,69 (Final) Cb2.2-1.4D+1.6I+1.6S+NHFDir1+,898.2,5.1,0.5,0.0,0.0,0.0
,,,,70 (Final) Cb2.3-1.4D+1.6I+1.6S+NHFDir1-,898.2,5.1,-0.4,0.0,0.0,0.0
,,,,71 (Final) Cb2.4-1.4D+1.6I+1.6S+NHFDir2+,897.9,7.5,0.0,0.0,0.0,0.0
,,,,72 (Final) Cb2.5-1.4D+1.6I+1.6S+NHFDir2-,898.5,2.7,0.1,0.0,0.0,0.0
,,,,73 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,690.5,4.0,2.5,0.0,0.0,0.0
,,,,74 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,690.5,4.0,2.5,0.0,0.0,0.0
,,,,75 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,690.3,4.0,5.2,0.0,0.0,0.0
,,,,76 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,690.3,4.0,5.2,0.0,0.0,0.0
,,,,77 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,689.1,16.9,4.5,0.0,0.0,0.0
,,,,78 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,689.1,16.9,4.5,0.0,0.0,0.0
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,688.9,16.9,8.0,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,688.9,16.9,8.0,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,690.1,4.0,-8.5,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,690.1,4.0,-8.5,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,689.9,4.0,-5.3,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,689.9,4.0,-5.3,0.0,0.0,0.0
