Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,15.8,0.1,0.1,0.0,0.0,0.2
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,15.3,0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.2,0.1,0.0,0.0,0.0,0.0
SUP 5/C,0.0000,SC 5/C (UKC 200x75x23),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,15.8,0.1,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,15.8,0.1,-0.1,0.0,0.0,-0.2
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,15.7,0.1,0.1,0.0,0.0,0.2
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,15.3,0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.2,0.1,0.0,0.0,0.0,0.0
SUP 6/A,0.0000,SC 6/A (UKC 200x75x23),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,16.5,0.1,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,16.6,0.1,-0.1,0.0,0.0,0.6
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,16.5,0.1,0.1,0.0,0.0,-0.6
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,17.0,-0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.0,0.2,0.0,0.0,0.0,0.0
SUP 6/C,0.0000,SC 6/C (UKC 200x75x23),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,16.5,0.1,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,16.5,0.1,-0.1,0.0,0.0,0.6
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,16.6,0.1,0.1,0.0,0.0,-0.6
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,17.0,-0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.0,0.2,0.0,0.0,0.0,0.0
SUP 7/A,0.0000,SC 7/A (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,16.1,0.1,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,14.9,0.1,-0.1,0.0,0.0,-0.6
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,17.2,0.1,0.2,0.0,0.0,0.6
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,15.7,0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.4,0.1,0.0,0.0,0.0,0.0
SUP 7/C,0.0000,SC 7/C (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,16.1,0.1,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,17.2,0.1,0.0,0.0,0.0,-0.6
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,14.9,0.1,0.0,0.0,0.0,0.6
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,15.7,0.1,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,16.4,0.1,0.0,0.0,0.0,0.0
SUP 8/A,0.0000,SC 8/A (UKC 203x203x46),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,9.9,-0.6,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,9.4,-0.5,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,10.4,-0.6,0.1,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,10.3,-0.7,0.0,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,9.5,-0.5,0.0,0.0,0.0,0.0
