Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,52 Cb3.9-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,53 Cb3.10-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,54 Cb3.11-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,55 Cb3.12-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,56 Cb3.13-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,57 Cb3.14-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,58 Cb3.15-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,59 Cb3.16-1.2D+1.2I+1.2RI+1.2W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,60 Cb5.1-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,61 Cb5.2-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,62 Cb5.3-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,63 Cb5.4-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,64 Cb5.5-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,65 Cb5.6-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,66 Cb5.7-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,67 Cb5.8-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
,,,,68 Cb5.9-D+1.4W,3.8,0.0,0.0,0.0,0.0,0.0
